Quantity;CMC;Mana symbols;name;type
4;2;RW;Lightning helix;instant
4;1;R;Lightning bolt;instant
4;3;1RW;Intimidation Bolt;instant
4;1;W;Path to exile;instant
1;4;2WW;Wrath of god;sorcery
1;4;2WW;Day of judgment;sorcery
4;1;R/W;Figure of destiny;creature
3;5;3WW;Baneslayer angel;creature
4;5;2 R/W R/W R/W;Balefire liege;creature
4;1;R;Vexing devil;creature
4;2;WW;Serra avenger;creature
4;2;RW;Cerodon yearling;creature
4;0;;Sacred foundry;land
4;0;;Arid mesa;land
4;0;;Rugged prairie;land
4;0;;Clifftop retreat;land
2;0;;Plains;land
2;0;;Mountain;land
